asset,date,addresses_listed
BSV,2022-09-03,1
BTG,2022-09-03,1
DASH,2022-09-03,3
ETC,2022-09-03,1
ETH,2022-09-03,68
LTC,2022-09-03,8
XBT,2022-09-03,277
XMR,2022-09-03,3
ZEC,2022-09-03,3
XBT,2022-09-15,283
ETH,2022-09-16,70
XBT,2022-09-16,285
ETH,2022-11-09,122
ETH,2022-11-10,131
XBT,2022-11-10,339
ETH,2023-02-02,132
XBT,2023-02-02,340
XBT,2023-03-01,341
XBT,2023-04-15,342
ETH,2023-04-25,133
XBT,2023-04-25,359
ARB,2023-05-19,1
BCH,2023-05-19,7
BSC,2023-05-19,1
USDT,2023-05-19,12
XVG,2023-05-19,1
ETH,2023-05-24,135
USDT,2023-05-24,13
XBT,2023-05-24,361
USDT,2023-08-01,14
ETH,2023-08-24,143
ETH,2023-09-27,144
ETH,2023-10-04,147
USDT,2023-10-04,17
XBT,2023-10-04,370
XBT,2023-10-19,371
XBT,2023-11-04,374
XBT,2023-11-30,376
TRX,2023-12-04,3
USDC,2023-12-04,2
ETH,2024-01-12,146
ETH,2024-02-21,147
XBT,2024-02-21,385
USDT,2024-03-21,19
USDT,2024-03-27,20
ETH,2024-03-28,149
USDT,2024-03-28,25
XBT,2024-03-28,386
ETH,2024-05-02,150
TRX,2024-05-02,4
XBT,2024-05-02,387
XBT,2024-05-08,388
ETH,2024-05-29,151
LTC,2024-05-29,9
TRX,2024-05-29,5
XBT,2024-05-29,434
USDT,2024-08-24,26
ETH,2024-09-27,152
LTC,2024-09-27,10
TRX,2024-09-27,6
XBT,2024-09-27,435
ETH,2024-12-05,153
USDT,2024-12-05,27
USDT,2024-12-20,32
XBT,2025-02-12,439
XBT,2025-03-05,483
XMR,2025-03-05,8
ETH,2025-03-22,63
USDT,2025-04-03,40
ETH,2025-05-30,64
TRX,2025-05-30,7
TRX,2025-07-02,8
ETH,2025-08-15,71
TRX,2025-08-15,19
XBT,2025-08-28,484
XBT,2025-09-04,485
ETH,2025-09-17,74
TRX,2025-09-17,23
TRX,2025-09-25,24
XBT,2025-10-15,489
XBT,2025-10-31,514
USDT,2025-11-05,93
ETH,2025-11-20,77
TRX,2025-11-20,29
XBT,2025-11-20,517
TRX,2026-01-31,36
ETH,2026-03-13,87
TRX,2026-03-13,46
XBT,2026-03-13,518
TRX,2026-04-25,48
SOL,2026-05-16,1
ETH,2026-05-21,93
TRX,2026-06-23,50
TRX,2026-07-02,181
XMR,2026-07-02,11
DASH,2026-07-14,5
ETH,2026-07-14,96
LTC,2026-07-14,13
SOL,2026-07-14,3
TRX,2026-07-14,184
XBT,2026-07-14,522
ZEC,2026-07-14,4
TRX,2026-07-15,188
TRX,2026-07-24,195
ETH,2026-08-08,100
SOL,2026-08-08,4
TRX,2026-08-08,198
XBT,2026-08-08,527
ETH,2026-08-25,120
TRX,2026-08-25,202
USDT,2026-08-25,94
XBT,2026-08-25,532
TRX,2026-09-10,254
